843276,15600,3510,18002,상의
2289480,33500,2142,31816,상의
3579446,25100,306,2438,상의
2086653,16900,52654,100094,상의
3034895,59500,1385,36438,상의
2329895,43900,3150,56552,상의
2314616,37000,12245,56700,상의
2990516,36900,2506,38205,상의
1558847,29900,31006,59198,상의
3460538,49840,343,8015,상의
2723764,49900,7065,43606,상의
3465171,39900,2719,25065,상의
1817394,59900,9040,67991,상의
2139775,33000,1708,18580,상의
2775713,37350,4255,48588,상의
2757451,59800,6881,25190,상의
2213670,36000,537,9143,상의
3727680,89000,60,1706,상의
1582356,57300,18854,70639,상의
1191407,32400,8161,45532,상의
2149254,37800,47857,80969,상의
2877493,46000,3183,73257,상의
3540248,66500,687,19998,상의
2043056,79900,7123,53118,상의
2105452,68400,3021,24291,상의
2723767,36900,13627,66705,상의
2990463,36900,237,4473,상의
3539176,39800,993,16034,상의
3650001,67425,49,13121,상의
2702396,46450,18401,78726,상의
1710327,29800,16119,46768,상의
2889732,574000,4,120,상의
2139144,43900,15304,29139,상의
2058188,71100,8786,67295,상의
1736058,37800,5635,31117,상의
1615829,37900,20056,80686,상의
3544148,66900,179,3651,상의
2990274,29900,172,3039,상의
3504362,496000,1,57,상의
3496115,47800,2795,22475,상의
3083790,41900,804,26874,상의
2722805,71100,2678,41579,상의
1629142,59390,2600,6051,상의
2302478,29200,87,2242,상의
1628939,62890,6864,13592,상의
606067,34500,8919,15986,상의
876284,29900,10945,32569,상의
3736920,65600,2,515,상의
2913659,42900,1529,28473,상의
3411311,54000,1641,54046,상의
3576011,59800,93,1862,상의
2144379,79900,3750,46476,상의
3611966,39000,498,7442,상의
3495046,41480,66,1582,상의
2139133,43900,24213,31087,상의
2996536,39900,3623,22840,상의
2990499,36900,834,11078,상의
2186292,17900,18734,28724,상의
3511387,71200,701,24679,상의
3052520,37800,99,1823,상의
3523309,109000,215,14002,상의
2970541,71100,2281,41419,상의
2913656,42900,2252,72202,상의
2106707,42900,7675,57640,상의
3463299,47400,765,12639,상의
1382658,16900,49964,84411,상의
2085363,30300,2226,21574,상의
2705733,17890,2956,7202,상의
3481897,99000,867,1140,상의
3679172,29900,190,7017,상의
2302738,71100,1889,26687,상의
2970544,71100,1947,44383,상의
843275,23000,929,3004,상의
3465118,54900,128,11194,상의
1736037,37800,3655,24983,상의
3640947,54550,97,13078,상의
645611,22600,13483,19593,상의
2163932,35400,2851,19223,상의
3548466,59800,214,5732,상의
996177,15900,83696,77605,상의
3618980,57400,10,518,상의
2731239,27000,1747,26539,상의
3303549,149000,5,220,상의
3483357,265000,1,284,상의
1574201,71100,5521,54755,상의
3494349,37800,1232,13272,상의
3463298,39500,455,3489,상의
3498319,19800,894,9326,상의
2995119,39800,3657,64393,상의
2837412,39000,692,41611,상의
2037173,69900,37958,122199,아우터
2482269,399000,4326,43772,아우터
655610,222400,7438,26170,아우터
3481219,319500,908,9266,아우터
2037167,69900,16501,90352,아우터
452483,169000,10491,47197,아우터
865862,159900,23273,40135,아우터
3571835,128000,828,16118,아우터
2238440,116300,9516,89895,아우터
3591569,131400,75,5217,아우터
3590467,89800,1310,23449,아우터
2863075,69000,466,23981,아우터
1115974,217000,13451,23471,아우터
2059078,295200,2093,7656,아우터
1535333,95040,6494,29510,아우터
2700048,209900,2321,25932,아우터
3734203,369000,6,1132,아우터
3464421,846000,2,87,아우터
3391616,79900,870,17765,아우터
3598288,358000,303,5510,아우터
1778404,39000,79682,215329,아우터
2737279,319000,593,5059,아우터
2704962,59400,11372,54244,아우터
2684073,229080,1646,18712,아우터
3527823,1140000,0,45,아우터
2744495,99900,1147,43464,아우터
3613963,99800,74,6371,아우터
3549862,65900,39,2082,아우터
2686490,159200,470,12786,아우터
3477691,39900,983,28545,아우터
