2842654,55900,1815,18268,바지
1149328,33890,98924,103477,바지
2173772,58650,2047,9365,바지
1168907,29890,10955,17284,바지
2131950,36500,5648,19675,바지
3467738,29800,985,13260,바지
2028326,44890,10868,30333,바지
3124492,39800,1028,10643,바지
3516256,59800,71,3847,바지
1844582,26900,13725,49130,바지
3642581,39800,110,4294,바지
2477843,28490,3083,7604,바지
2081268,45900,6062,18777,바지
3224169,19800,668,6841,바지
3095384,39900,2835,23372,바지
2032901,35890,9580,19909,바지
3663072,39000,157,5953,바지
1666443,44890,6563,16683,바지
2490102,63750,1420,6921,바지
2762709,34090,1537,7669,바지
2723714,39900,4469,26938,바지
890521,39800,12945,33594,바지
890338,36500,49961,100970,바지
3467226,27800,249,2870,바지
2993417,78900,195,3361,바지
3003317,116100,91,534,바지
3206724,71200,539,6112,바지
3511768,219000,26,247,바지
1224095,29890,28154,29629,바지
2184087,49000,6582,54786,바지
2737165,49800,3555,35027,바지
3443300,26560,3565,55536,바지
3316313,48900,345,13366,바지
2998236,29800,96,6755,바지
3308929,37800,1991,12721,바지
1698784,97850,4334,9912,바지
2709015,42000,3317,21447,바지
3440430,38500,494,2824,바지
3652512,196000,6,375,바지
3488124,69960,98,3794,바지
3641293,189000,11,2869,바지
3095387,39900,1627,13583,바지
3154647,49800,1500,9267,바지
2007390,44890,3218,5789,바지
3199288,185000,0,57,바지
2119984,59400,4383,23975,바지
3046178,90300,194,1965,바지
3439084,39000,166,3306,바지
2184088,49000,3704,31475,바지
3445384,79900,4,46,바지
2173773,58650,649,2619,바지
3434923,89100,526,14610,바지
